;path;xmin;ymin;xmax;ymax;name
18;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\18.png;80;293;152;352;pallet
19;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\19.png;82;282;152;341;pallet
20;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\20.png;85;269;154;326;pallet
21;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\21.png;87;260;159;311;pallet
22;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\22.png;88;250;153;296;pallet
23;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\23.png;90;238;155;286;pallet
24;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\24.png;90;230;156;279;pallet
25;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\25.png;93;216;161;261;pallet
26;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\26.png;93;204;159;256;pallet
27;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\27.png;94;194;158;245;pallet
28;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\28.png;94;196;166;259;pallet
29;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\29.png;93;215;164;277;pallet
30;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\30.png;90;229;155;278;pallet
31;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\31.png;88;245;159;304;pallet
32;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\32.png;86;262;155;314;pallet
33;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\33.png;85;281;160;341;pallet
34;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\34.png;81;299;153;360;pallet
35;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\35.png;92;293;160;363;pallet
36;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\36.png;84;180;158;244;pallet
37;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\37.png;95;205;169;267;pallet
38;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\38.png;100;218;173;281;pallet
39;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\39.png;105;243;175;301;pallet
40;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\40.png;106;268;176;320;pallet
41;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\41.png;103;274;175;335;pallet
42;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\42.png;105;293;175;351;pallet
43;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\43.png;108;302;175;356;pallet
44;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\44.png;131;301;197;351;pallet
45;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\45.png;133;319;200;368;pallet
46;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\46.png;127;282;193;334;pallet
47;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\47.png;128;270;193;317;pallet
48;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\48.png;128;249;196;300;pallet
49;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\49.png;129;238;197;286;pallet
50;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\50.png;128;224;196;272;pallet
51;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\51.png;128;206;193;256;pallet
52;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\52.png;128;195;194;243;pallet
53;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\53.png;126;186;191;233;pallet
54;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\54.png;124;195;192;254;pallet
55;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\55.png;119;218;192;278;pallet
56;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\56.png;117;235;188;287;pallet
57;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\57.png;114;254;187;315;pallet
58;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\58.png;110;272;181;334;pallet
59;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\59.png;111;289;183;345;pallet
60;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\60.png;108;303;182;369;pallet
61;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\61.png;127;283;192;347;pallet
62;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\62.png;141;263;212;329;pallet
63;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\63.png;128;243;203;307;pallet
64;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\64.png;126;229;196;295;pallet
65;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\65.png;122;224;193;284;pallet
66;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\66.png;122;205;193;273;pallet
67;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\67.png;115;198;187;257;pallet
68;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\68.png;113;190;185;251;pallet
69;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\69.png;112;183;181;239;pallet
70;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\70.png;105;161;178;228;pallet
71;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\71.png;161;178;226;224;pallet
72;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\72.png;165;191;229;238;pallet
73;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\73.png;163;212;233;257;pallet
74;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\74.png;164;228;231;274;pallet
75;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\75.png;163;236;228;283;pallet
76;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\76.png;165;242;231;291;pallet
77;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\77.png;166;255;232;304;pallet
78;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\78.png;167;266;229;312;pallet
79;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\79.png;167;280;233;325;pallet
80;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\80.png;167;291;232;337;pallet
81;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\81.png;166;307;235;353;pallet
82;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\82.png;159;310;224;374;pallet
83;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\83.png;161;297;232;359;pallet
84;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\84.png;164;287;236;348;pallet
85;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\85.png;168;272;240;336;pallet
86;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\86.png;172;255;243;318;pallet
87;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\87.png;172;243;236;304;pallet
88;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\88.png;176;230;240;291;pallet
89;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\89.png;174;215;239;278;pallet
90;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\90.png;176;200;237;261;pallet
91;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\91.png;161;181;230;233;pallet
92;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\92.png;163;192;234;251;pallet
93;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\93.png;164;211;234;267;pallet
94;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\94.png;166;226;233;282;pallet
95;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\95.png;166;237;239;295;pallet
96;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\96.png;170;249;236;308;pallet
97;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\97.png;170;258;240;316;pallet
98;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\98.png;172;276;239;330;pallet
99;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\99.png;175;298;246;354;pallet
100;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\100.png;175;309;246;369;pallet
101;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\101.png;67;207;132;255;pallet
102;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\102.png;63;201;136;251;pallet
103;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\103.png;70;203;136;261;pallet
104;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\104.png;73;230;140;284;pallet
105;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\105.png;71;249;141;299;pallet
106;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\106.png;83;244;156;306;pallet
107;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\107.png;67;264;133;325;pallet
108;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\108.png;79;282;142;327;pallet
109;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\109.png;67;277;117;342;pallet
110;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\110.png;80;265;143;337;pallet
111;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\111.png;95;237;160;286;pallet
112;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\112.png;93;222;165;284;pallet
113;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\113.png;105;201;174;253;pallet
114;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\114.png;102;177;173;247;pallet
115;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\115.png;100;245;174;314;pallet
116;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\116.png;121;257;192;309;pallet
117;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\117.png;140;267;212;318;pallet
118;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\118.png;153;252;223;315;pallet
119;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\119.png;155;233;225;293;pallet
120;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\120.png;162;219;233;276;pallet
121;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\121.png;139;209;207;273;pallet
122;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\122.png;126;205;194;262;pallet
123;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\123.png;121;214;189;259;pallet
124;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\124.png;140;243;213;308;pallet
125;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\125.png;139;243;211;309;pallet
126;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\126.png;136;255;208;322;pallet
127;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\127.png;153;264;222;315;pallet
128;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\128.png;162;250;233;314;pallet
129;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\129.png;155;218;224;266;pallet
130;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\130.png;119;264;194;316;pallet
131;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\131.png;91;281;159;341;pallet
132;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\132.png;92;281;160;341;pallet
133;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\133.png;98;299;164;344;pallet
134;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\134.png;114;340;180;411;pallet
135;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\135.png;113;340;180;411;pallet
136;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\136.png;99;346;173;416;pallet
137;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\137.png;89;361;158;422;pallet
138;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\138.png;99;346;159;414;pallet
139;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\139.png;67;328;135;404;pallet
140;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\140.png;67;328;126;391;pallet
141;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\141.png;67;327;124;404;pallet
142;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\142.png;68;327;136;404;pallet
143;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\143.png;79;323;140;388;pallet
144;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\144.png;78;324;139;389;pallet
145;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\145.png;42;285;108;356;pallet
146;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\146.png;62;292;109;357;pallet
147;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\147.png;60;290;122;359;pallet
148;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\148.png;61;291;122;360;pallet
149;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\149.png;61;291;122;359;pallet
150;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\150.png;53;295;124;365;pallet
151;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\151.png;94;177;165;248;pallet
152;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\152.png;92;180;165;248;pallet
153;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\153.png;111;226;182;272;pallet
154;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\154.png;112;226;188;276;pallet
155;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\155.png;111;227;188;274;pallet
156;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\156.png;111;225;189;272;pallet
157;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\157.png;112;225;190;270;pallet
158;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\158.png;112;224;189;269;pallet
159;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\159.png;112;225;182;268;pallet
160;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\160.png;111;225;183;271;pallet
161;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\161.png;112;225;181;270;pallet
162;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\162.png;112;226;182;270;pallet
163;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\163.png;113;234;184;277;pallet
164;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\164.png;112;234;178;277;pallet
165;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\165.png;113;233;177;278;pallet
166;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\166.png;105;209;178;271;pallet
167;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\167.png;106;209;178;250;pallet
168;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\168.png;106;210;178;270;pallet
169;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\169.png;105;208;177;271;pallet
170;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\170.png;107;222;171;269;pallet
171;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\171.png;72;207;141;263;pallet
172;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\172.png;71;223;143;272;pallet
173;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\173.png;71;223;143;271;pallet
174;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\174.png;73;207;139;252;pallet
175;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\175.png;74;204;140;251;pallet
176;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\176.png;77;204;146;259;pallet
177;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\177.png;76;204;145;259;pallet
178;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\178.png;56;140;116;210;pallet
179;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\179.png;89;186;161;248;pallet
180;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\180.png;88;186;161;249;pallet
181;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\181.png;89;186;161;249;pallet
182;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\182.png;89;186;161;249;pallet
183;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\183.png;89;187;161;249;pallet
184;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\184.png;86;185;149;231;pallet
185;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\185.png;85;185;151;230;pallet
186;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\186.png;86;184;148;231;pallet
187;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\187.png;85;185;148;229;pallet
188;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\188.png;86;185;150;229;pallet
189;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\189.png;95;199;158;252;pallet
190;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\190.png;74;199;145;260;pallet
191;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\191.png;75;197;145;261;pallet
192;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\192.png;89;187;154;241;pallet
193;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\193.png;89;189;155;240;pallet
194;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\194.png;90;188;153;240;pallet
195;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\195.png;137;222;201;267;pallet
196;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\196.png;136;222;201;268;pallet
197;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\197.png;136;224;208;289;pallet
198;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\198.png;135;242;210;288;pallet
199;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\199.png;135;237;206;288;pallet
200;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\200.png;133;248;211;294;pallet
201;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\201.png;135;243;210;296;pallet
202;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\202.png;139;234;209;277;pallet
203;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\203.png;112;240;184;293;pallet
204;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\204.png;112;239;184;293;pallet
205;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\205.png;121;261;197;309;pallet
206;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\206.png;119;261;199;313;pallet
207;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\207.png;121;261;198;310;pallet
208;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\208.png;121;260;199;309;pallet
209;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\209.png;121;259;198;309;pallet
210;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\210.png;121;261;200;309;pallet
211;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\211.png;79;241;144;285;pallet
212;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\212.png;81;216;150;259;pallet
213;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\213.png;86;188;150;239;pallet
214;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\214.png;89;180;161;244;pallet
215;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\215.png;90;159;157;206;pallet
216;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\216.png;89;148;162;198;pallet
217;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\217.png;116;153;187;204;pallet
218;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\218.png;140;235;208;285;pallet
219;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\219.png;141;216;210;272;pallet
220;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\220.png;114;197;183;253;pallet
221;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\221.png;93;225;157;269;pallet
222;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\222.png;73;246;145;303;pallet
223;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\223.png;63;259;134;329;pallet
224;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\224.png;120;218;186;262;pallet
225;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\225.png;115;239;183;291;pallet
226;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\226.png;94;244;159;296;pallet
227;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\227.png;80;241;153;302;pallet
228;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\228.png;62;256;118;317;pallet
229;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\229.png;73;227;145;272;pallet
230;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\230.png;74;203;143;260;pallet
231;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\231.png;76;234;144;288;pallet
232;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\232.png;86;226;158;272;pallet
233;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\233.png;86;209;154;262;pallet
234;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\234.png;135;247;200;295;pallet
235;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\235.png;135;248;201;294;pallet
236;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\236.png;104;221;173;268;pallet
237;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\237.png;128;228;196;274;pallet
238;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\238.png;130;221;200;280;pallet
239;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\239.png;105;264;177;318;pallet
240;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\240.png;132;282;202;351;pallet
241;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\241.png;93;218;163;280;pallet
242;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\242.png;93;215;165;260;pallet
243;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\243.png;92;214;166;264;pallet
244;C:\Drive\Uni\Diplomarbeit\ForRealsies\Own\Programming\prep\png\244.png;93;237;157;282;pallet
